"Family","genSpp","L.Best, 2017-2018 (N=2043)","M.Summers, 2020 (N=1058)","R.Miksha, 2019 (N=1260)"
"Andrenidae","Andrena apacheorum",1,0,0
"Andrenidae","Andrena canadensis",1,0,0
"Andrenidae","Andrena hirticincta",3,0,0
"Andrenidae","Andrena lupinorum",1,0,0
"Andrenidae","Andrena mariae",9,0,0
"Andrenidae","Andrena milwaukeensis",0,4,0
"Andrenidae","Andrena nivalis",0,1,1
"Andrenidae","Andrena salicifloris",2,0,0
"Andrenidae","Andrena spp.",1,33,2
"Andrenidae","Andrena vicina",0,1,0
"Andrenidae","Panurginus spp.",0,6,0
"Andrenidae","Perdita swenki",1,0,0
"Andrenidae","Pseudopanurgus parvus",9,7,0
"Andrenidae","Pseudopanurgus renimaculatus",1,0,0
"Andrenidae","Pseudopanurgus spp.",10,2,0
"Apidae","Anthophora bomboides",131,1,2
"Apidae","Anthophora occidentalis",0,2,1
"Apidae","Anthophora terminalis",26,18,47
"Apidae","Apis mellifera",3,73,85
"Apidae","Bombus bifarius",10,42,10
"Apidae","Bombus bohemicus",2,1,1
"Apidae","Bombus borealis",8,9,6
"Apidae","Bombus centralis",4,103,445
"Apidae","Bombus cryptarum",6,42,12
"Apidae","Bombus fervidus",1,0,0
"Apidae","Bombus flavifrons",0,1,2
"Apidae","Bombus huntii",93,63,212
"Apidae","Bombus insularis",30,23,3
"Apidae","Bombus melanopygus",2,0,0
"Apidae","Bombus mixtus",4,10,7
"Apidae","Bombus nevadensis",19,14,5
"Apidae","Bombus occidentalis",1,2,2
"Apidae","Bombus perplexus",17,90,253
"Apidae","Bombus rufocinctus",862,224,93
"Apidae","Bombus ternarius",22,41,48
"Apidae","Bombus vagans",5,12,0
"Apidae","Diadasia australis",1,0,0
"Apidae","Melissodes agilis",1,0,2
"Apidae","Melissodes confusus",50,13,26
"Apidae","Melissodes illata",10,0,0
"Apidae","Melissodes rivalis",0,0,4
"Apidae","Nomada spp.",2,2,1
"Apidae","Triepeolus spp.",2,1,0
"Colletidae","Colletes aberrans",1,0,0
"Colletidae","Colletes fulgidus",3,0,0
"Colletidae","Colletes phaceliae",2,0,0
"Colletidae","Colletes spp.",0,5,0
"Colletidae","Colletes wickhami",1,0,0
"Colletidae","Hylaeus affinis",0,1,0
"Colletidae","Hylaeus annulatus",0,2,0
"Colletidae","Hylaeus gaigei",0,1,0
"Colletidae","Hylaeus illinoisensis",0,1,0
"Colletidae","Hylaeus modestus",0,1,0
"Colletidae","Hylaeus spp.",30,17,0
"Halictidae","Agapostemon texanus",47,6,0
"Halictidae","Dufourea maura",1,0,6
"Halictidae","Halictus confusus",178,7,2
"Halictidae","Halictus ligatus",1,0,0
"Halictidae","Halictus rubicundus",28,7,26
"Halictidae","Lasioglossum aberrans",1,0,0
"Halictidae","Lasioglossum colatum",3,0,0
"Halictidae","Lasioglossum leucozonium",103,2,1
"Halictidae","Lasioglossum mellipes",4,0,0
"Halictidae","Lasioglossum paraforbesci",0,0,1
"Halictidae","Lasioglossum paraforbesii",5,2,0
"Halictidae","Lasioglossum spp.",141,104,3
"Halictidae","Lasioglossum zonulum",64,2,12
"Halictidae","Sphecodes spp.",8,7,0
"Megachilidae","Anthidium tenuiflorae",1,0,0
"Megachilidae","Coelioxys funeraria",0,2,0
"Megachilidae","Coelioxys porterae",0,1,0
"Megachilidae","Coelioxys rufitarsis",11,2,0
"Megachilidae","Coelioxys sodalis",1,0,0
"Megachilidae","Dianthidium pudicum",1,0,0
"Megachilidae","Heriades carinata",2,0,0
"Megachilidae","Hoplitis albifrons",1,0,1
"Megachilidae","Hoplitis pilosifrons",2,0,2
"Megachilidae","Hoplitis spoliata",0,1,0
"Megachilidae","Megachile addenda",0,0,1
"Megachilidae","Megachile centuncularis",0,2,0
"Megachilidae","Megachile circumcincta",8,0,0
"Megachilidae","Megachile frigida",6,6,3
"Megachilidae","Megachile inermis",6,5,8
"Megachilidae","Megachile lapponica",4,0,0
"Megachilidae","Megachile latimanus",0,1,0
"Megachilidae","Megachile melanophae",0,0,15
"Megachilidae","Megachile melanophaea",5,3,1
"Megachilidae","Megachile montivaga",0,0,1
"Megachilidae","Megachile perihirta",18,7,17
"Megachilidae","Megachile pugnata",1,1,0
"Megachilidae","Megachile relativa",0,10,2
"Megachilidae","Megachile rotunda",0,0,1
"Megachilidae","Megachile rotundata",1,9,0
"Megachilidae","Osmia simillima",0,2,1
"Megachilidae","Osmia spp.",2,0,3
"Megachilidae","Osmia texana",1,0,0
