ID,County,Locality,Lat,Lon,Elev,Trap,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Sex,Observer/Collector,Family,Genus,Species
PHPP17-1,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Halictus,confusus
PHPP17-10,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Halictus,confusus
PHPP17-100,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,leucozonium
PHPP17-101,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,leucozonium
PHPP17-1019,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-102,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,zonulum
PHPP17-1020,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1021,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1022,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1023,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,insularis
PHPP17-1024,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,insularis
PHPP17-1025,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1026,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1027,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1028,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1029,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-103,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,
PHPP17-1030,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1031,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1032,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1033,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1034,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1035,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1036,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1037,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1038,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1039,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-104,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Halictus,confusus
PHPP17-1040,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,ternarius
PHPP17-1041,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1042,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1043,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,vagans
PHPP17-1044,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1045,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1046,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1047,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1048,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1049,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,6,vi,2018,15,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-105,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,
