Specimen_ID,County,Locality,Lat,Lon,Elev,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Method,Collector,FlowerSpp,Family,Genus,Species,Sex,Caste
CPP-1,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Apidae,Bombus,ternarius,female,worker
CPP-2,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Apidae,Bombus,perplexus,female,queen
CPP-3,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Andrenidae,Andrena,sp. 3,female,
CPP-4,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,,,,,
CPP-5,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-6,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 1,female,
CPP-7,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Halictus,confusus,female,
CPP-8,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-9,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-10,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 12,female,
CPP-11,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Andrenidae,Andrena,sp. 4,male,
CPP-12,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,,,,,
CPP-13,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,,,,,
CPP-14,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 2,female,
CPP-15,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,sp. 1,female,
CPP-16,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 10,female,
CPP-17,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 10,female,
CPP-18,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-19,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 9,female,
CPP-20,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 10,female,
CPP-21,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 10,female,
CPP-22,City of Calgary,Montgomery,51.070642,-114.170995,1063,16,v,2020,16,v,2020,sweep net,M.Summers,Salix sp.,Halictidae,Lasioglossum,Dialictus sp. 10,female,
