ID,Latitude,Longitude,Community,Method,StartDay,StartMonth,EndDay,EndMonth,Year,Family,Genus,Species,Sex
RM19-448,51.0539,-114.1044,Hillhurst,Blue Vane,30,Jul,6,Aug,2019,Andrenidae,Andrena,nivalis,F
RM19-917,NA,NA,Unknown,Blue Vane,30,Jul,9,Aug,2019,Andrenidae,Andrena,sp.1,F
RM19-102,50.9368,-114.0927,Canyon Meadows,Blue Vane,5,Jul,19,Jul,2019,Andrenidae,Andrena,sp.2,M
RM19-201,50.9381,-114.1044,Woodlands,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,bomboides,F
RM19-304,51.0548,-114.1595,Wildwood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Anthophora,bomboides,F
RM19-542,50.9368,-114.0927,Canyon Meadows,Blue Vane,31,Jul,2,Aug,2019,Apidae,Anthophora,occidentalis,F
RM19-001,50.8894,-114.0835,Silverado,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-028,51.1234,-114.1773,Ranchlands,Blue Vane,2,Jul,16,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-036,51.0401,-114.0965,Sunalta,Blue Vane,4,Jul,18,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-046,51.0345,-114.0856,Mount Royal,Blue Vane,4,Jul,18,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-078,51.0196,-113.9681,Erin Woods,Blue Vane,4,Jul,18,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-082,50.9368,-114.0927,Canyon Meadows,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-095,50.9368,-114.0927,Canyon Meadows,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-114,50.9413,-114.0877,Canyon Meadows,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-183,50.9381,-114.1044,Woodlands,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-192,50.9381,-114.1044,Woodlands,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-194,50.9381,-114.1044,Woodlands,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-196,50.9381,-114.1044,Woodlands,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-199,50.9381,-114.1044,Woodlands,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-230,50.9667,-114.0819,Haysboro,Blue Vane,4,Jul,18,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-231,50.9667,-114.0819,Haysboro,Blue Vane,4,Jul,18,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-232,50.9667,-114.0819,Haysboro,Blue Vane,4,Jul,18,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-238,50.9549,-114.131,Cedarbrae,Blue Vane,5,Jul,19,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-244,51.0359,-114.162,Glendale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-253,51.0715,-114.2154,Cougar Ridge,Blue Vane,3,Jul,17,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-269,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-277,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-302,51.0298,-114.1501,Glenbrook,Blue Vane,3,Jul,17,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-318,50.9681,-114.0926,Haysboro,Blue Vane,4,Jul,18,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-321,50.9681,-114.0926,Haysboro,Blue Vane,4,Jul,18,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-340,51.0355,-114.1211,Killarney,Blue Vane,3,Jul,17,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-353,51.1507,-114.2313,Royal Oak,Blue Vane,2,Jul,16,Jul,2019,Apidae,Anthophora,terminalis,F
RM19-418,51.0486,-113.9405,Penbrooke Meadows,Blue Vane,2,Aug,9,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-496,51.0199,-114.1464,Glamorgan,Blue Vane,1,Aug,8,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-504,51.1219,-114.1777,Ranchlands,Blue Vane,30,Jul,6,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-561,50.9368,-114.0927,Canyon Meadows,Blue Vane,31,Jul,2,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-640,50.9413,-114.0877,Canyon Meadows,Blue Vane,31,Jul,7,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-645,50.9378,-114.0153,Riverbend,Blue Vane,31,Jul,7,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-650,50.9399,-114.136,Woodbine,Blue Vane,31,Jul,7,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-717,51.0956,-114.2172,Bowness,Blue Vane,1,Aug,8,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-732,51.0956,-114.2172,Bowness,Blue Vane,1,Aug,8,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-896,NA,NA,Unknown,Blue Vane,30,Jul,9,Aug,2019,Apidae,Anthophora,terminalis,F
